population_size,fitness_score,training_time
20,0.0345839999473186,0.003723915417989095
30,0.0238137841814741,0.007962024211883545
40,0.0345839999473186,0.011070422331492106
50,0.0268181392977441,0.018465900421142583
60,0.0340570102404719,0.024634667237599692
70,0.0269129691570641,0.032296415170033774
80,0.025977123464816,0.042020964622497554
90,0.0269129691570641,0.052308531602223714
100,0.027307264106276,0.06324754556020101
125,0.0231010618970183,0.08879590431849162
150,0.0011920174919958,0.1504019856452942
175,0.0265820453565642,0.1608717441558838
200,0.0170932470046881,0.21499178806940714
250,0.0219732478993908,0.32858802477518717
300,0.0268181392977441,0.44157530069351203
350,0.0205308769054291,0.5781392176946004
400,0.0175657167926067,0.7319168011347453
450,0.0205308769054291,0.8549024184544881
500,0.0238118575949627,1.0352596839269002
550,0.0215586689542566,1.2559269348780313
600,0.0225850287242204,1.4021465023358664
650,0.0161811141122807,1.6754055857658385
700,0.0234375424983168,1.8419663270314535
750,0.0019430116589686,2.0599839369455974
800,0.023316653125471,2.4423091371854144
850,0.0089531844937188,2.566287434101105
900,0.0161811141122807,2.670981236298879
950,0.0163405218174482,2.96175989707311
1000,0.0225789962532716,3.15899977684021
2000,0.0163405218174482,9.652008088429769
3000,0.0006276685397475,20.349576858679452
4000,0.0006276685397475,32.39531856775284
5000,0.012475182690098,44.07507710456848
6000,0.0019430116589686,58.754524326324464
7000,0.0006276685397475,75.65998944441479
