population_size,fitness_score,training_time
20,0.0174900910926693,0.2293844223022461
30,0.0199994046673748,0.4487974643707275
40,0.0107172298720935,0.7370634078979492
50,0.0142603834488219,1.1659154891967771
60,0.0030908520790262,1.5359244346618652
70,0.0107172298720935,2.329770803451538
80,0.0192530712884377,3.319124698638916
90,0.0107172298720935,5.395601749420166
100,0.0174900910926693,4.469286203384399
125,0.0107172298720935,6.769804954528809
150,0.0044807768916229,8.751005411148071
175,0.0034415702749319,12.272515773773192
200,0.0107172298720935,14.002577304840088
250,0.0037215705489213,25.215219259262085
300,0.0065250144813958,29.800254106521606
350,0.0037215705489213,41.00167036056519
400,0.0037215705489213,50.13330364227295
450,0.0022518942687407,58.86301302909851
500,0.0037215705489213,61.60011625289917
550,0.005371522804089,72.97101902961731
600,0.0028765894975634,78.81922125816345
650,0.0034415702749319,88.68519735336304
700,0.0034415702749319,103.4905014038086
750,0.0032888908542455,115.35944986343384
800,0.0028187869374213,130.18918752670288
850,0.0037215705489213,141.5559058189392
900,0.0033275610718543,154.89943265914917
950,0.0027745567557215,194.4726917743683
1000,0.0037215705489213,223.25087904930115
2000,0.0022784180412246,678.9048647880554
3000,0.0027016584764446,1325.8947234153748
4000,0.0022666835496794,1831.802188873291
5000,0.0029737140387318,2705.164343357086
6000,0.0029656061098745,3411.5382764339447
7000,0.0027894223462797,4634.774365186691
