x,y
-5.0,-4.465444561808008
-4.97997997997998,-4.445424541787988
-4.95995995995996,-4.425404521767968
-4.93993993993994,-4.405384501747948
-4.91991991991992,-4.385364481727928
-4.8998998998999,-4.365344461707908
-4.87987987987988,-4.345324441687888
-4.85985985985986,-4.325304421667868
-4.83983983983984,-4.305284401647848
-4.81981981981982,-4.285264381627828
-4.7997997997998,-4.265244361607808
-4.77977977977978,-4.245224341587788
-4.75975975975976,-4.225204321567768
-4.73973973973974,-4.205184301547748
-4.71971971971972,-4.185164281527728
-4.6996996996997,-4.165144261507708
-4.67967967967968,-4.145124241487688
-4.65965965965966,-4.125104221467668
-4.63963963963964,-4.105084201447648
-4.61961961961962,-4.085064181427628
-4.5995995995996,-4.065044161407608
-4.57957957957958,-4.045024141387588
-4.55955955955956,-4.025004121367568
-4.53953953953954,-4.004984101347548
-4.51951951951952,-3.9849640813275276
-4.4994994994995,-3.9649440613075075
-4.47947947947948,-3.9449240412874875
-4.45945945945946,-3.9249040212674675
-4.43943943943944,-3.9048840012474475
-4.41941941941942,-3.8848639812274275
-4.3993993993994,-3.8648439612074075
-4.37937937937938,-3.8448239411873875
-4.35935935935936,-3.8248039211673674
-4.33933933933934,-3.8047839011473474
-4.31931931931932,-3.7847638811273274
-4.2992992992992995,-3.7647438611073074
-4.2792792792792795,-3.7447238410872874
-4.2592592592592595,-3.7247038210672674
-4.2392392392392395,-3.7046838010472474
-4.2192192192192195,-3.6846637810272274
-4.1991991991991995,-3.6646437610072073
-4.1791791791791795,-3.6446237409871873
-4.1591591591591595,-3.6246037209671673
-4.1391391391391394,-3.6045837009471473
-4.119119119119119,-3.5845636809271273
-4.099099099099099,-3.5645436609071073
-4.079079079079079,-3.5445236408870873
-4.059059059059059,-3.5245036208670673
-4.039039039039039,-3.5044836008470472
-4.019019019019019,-3.4844635808270272
-3.998998998998999,-3.464443560807007
-3.978978978978979,-3.444423540786987
-3.958958958958959,-3.424403520766967
-3.938938938938939,-3.404383500746947
-3.918918918918919,-3.384363480726927
-3.898898898898899,-3.364343460706907
-3.878878878878879,-3.344323440686887
-3.858858858858859,-3.324303420666867
-3.838838838838839,-3.304283400646847
-3.818818818818819,-3.284263380626827
-3.798798798798799,-3.264243360606807
-3.7787787787787788,-3.244223340586787
-3.7587587587587588,-3.224203320566767
-3.7387387387387387,-3.204183300546747
-3.7187187187187187,-3.184163280526727
-3.6986986986986987,-3.164143260506707
-3.6786786786786787,-3.144123240486687
-3.6586586586586587,-3.124103220466667
-3.6386386386386387,-3.104083200446647
-3.6186186186186187,-3.084063180426627
-3.5985985985985987,-3.064043160406607
-3.5785785785785786,-3.044023140386587
-3.5585585585585586,-3.024003120366567
-3.5385385385385386,-3.003983100346547
-3.5185185185185186,-2.983963080326527
-3.4984984984984986,-2.963943060306507
-3.4784784784784786,-2.943923040286487
-3.4584584584584586,-2.923903020266467
-3.4384384384384385,-2.903883000246447
-3.4184184184184185,-2.883862980226427
-3.3983983983983985,-2.863842960206407
-3.378378378378378,-2.843822940186386
-3.358358358358358,-2.823802920166366
-3.338338338338338,-2.803782900146346
-3.318318318318318,-2.783762880126326
-3.298298298298298,-2.763742860106306
-3.278278278278278,-2.743722840086286
-3.258258258258258,-2.723702820066266
-3.238238238238238,-2.703682800046246
-3.218218218218218,-2.683662780026226
-3.198198198198198,-2.663642760006206
-3.178178178178178,-2.643622739986186
-3.158158158158158,-2.623602719966166
-3.138138138138138,-2.6035826999461458
-3.118118118118118,-2.5835626799261258
-3.098098098098098,-2.5635426599061057
-3.078078078078078,-2.5435226398860857
-3.058058058058058,-2.5235026198660657
-3.038038038038038,-2.5034825998460457
-3.018018018018018,-2.4834625798260257
-2.997997997997998,-2.4634425598060057
-2.977977977977978,-2.4434225397859857
-2.957957957957958,-2.4234025197659657
-2.937937937937938,-2.4033824997459456
-2.9179179179179178,-2.3833624797259256
-2.8978978978978978,-2.3633424597059056
-2.8778778778778777,-2.3433224396858856
-2.8578578578578577,-2.3233024196658656
-2.8378378378378377,-2.3032823996458456
-2.8178178178178177,-2.2832623796258256
-2.7977977977977977,-2.2632423596058056
-2.7777777777777777,-2.2432223395857855
-2.7577577577577577,-2.2232023195657655
-2.7377377377377377,-2.2031822995457455
-2.7177177177177176,-2.1831622795257255
-2.6976976976976976,-2.1631422595057055
-2.6776776776776776,-2.1431222394856855
-2.6576576576576576,-2.1231022194656655
-2.6376376376376376,-2.1030821994456455
-2.6176176176176176,-2.0830621794256254
-2.5975975975975976,-2.0630421594056054
-2.5775775775775776,-2.0430221393855854
-2.5575575575575575,-2.0230021193655654
-2.5375375375375375,-2.0029820993455454
-2.5175175175175175,-1.9829620793255256
-2.4974974974974975,-1.9629420593055056
-2.4774774774774775,-1.9429220392854856
-2.4574574574574575,-1.9229020192654656
-2.4374374374374375,-1.9028819992454455
-2.4174174174174174,-1.8828619792254255
-2.3973973973973974,-1.8628419592054055
-2.3773773773773774,-1.8428219391853855
-2.3573573573573574,-1.8228019191653655
-2.3373373373373374,-1.8027818991453455
-2.3173173173173174,-1.7827618791253255
-2.2972972972972974,-1.7627418591053055
-2.2772772772772774,-1.7427218390852854
-2.2572572572572573,-1.7227018190652654
-2.2372372372372373,-1.7026817990452454
-2.2172172172172173,-1.6826617790252254
-2.1971971971971973,-1.6626417590052054
-2.1771771771771773,-1.6426217389851854
-2.1571571571571573,-1.6226017189651654
-2.1371371371371373,-1.6025816989451453
