max_generations,fitness_score,training_time
1,0.0011819829878894,578.8134522438049
2,0.0012016240434427,576.8219292163849
3,0.0091340940363779,557.3586204051971
4,0.0163405218174482,597.6252648830414
5,0.0163405218174482,617.6650066375732
6,0.0085340478585173,632.2958903312683
7,0.0205308769054291,577.3144819736481
8,0.0145284287465973,558.3196198940277
9,0.001096660989591,551.0411853790283
10,0.0069768330759143,548.3239188194275
11,0.0161811141122807,579.1708238124847
12,0.0006276685397475,568.0893292427063
13,0.0069768330759143,575.2620747089386
14,0.0133941205813914,604.9179997444153
15,0.0157617824501787,588.486321926117
16,0.0163405218174482,577.1836175918579
17,0.0019430116589686,592.975175857544
18,0.001096660989591,603.5012953281403
19,0.0163405218174482,601.0813581943512
20,0.0015050323110024,588.5494084358215
21,0.014597164863264,609.9067115783691
22,0.0068088286579864,610.3560025691986
23,0.0111474649422722,616.0757584571838
24,0.0069768330759143,618.5018472671509
25,0.0154855212833573,625.5533154010773
26,0.001096660989591,624.9387080669403
27,0.001938680806896,619.012939453125
28,0.0161811141122807,646.1512904167175
29,0.0069768330759143,645.8043482303619
30,0.0150571382341918,645.8257315158844
31,0.0069768330759143,659.081042766571
32,0.0011739918293282,652.1967115402222
33,0.0031086839474602,647.7016396522522
34,0.0006276685397475,648.2244610786438
35,0.0019430116589686,674.656480550766
36,0.0019430116589686,697.0828311443329
37,0.0065912736471261,687.6221477985382
38,0.0154356518938033,672.0082190036774
39,0.001096660989591,676.0008833408356
40,0.0079724742743037,671.123391866684
41,0.0099073841932325,704.7150588035583
42,0.001096660989591,697.4326303005219
43,0.0006276685397475,695.2288656234741
44,0.0119410712309827,711.9528381824493
45,0.001096660989591,721.4099640846252
46,0.0099073841932325,718.7989032268524
47,0.0069768330759143,729.8668501377106
48,0.0089531844937188,706.7398996353149
49,0.0138684009212249,718.9571495056152
50,0.0082708979870655,739.7904913425446
