population_size, fitness_score, training_time
20, 0.03138501613671931, 0.2523610591888428
30, 0.019999404667374862, 0.38799476623535156
40, 0.016299617932189887, 0.7679464817047119
50, 0.019999404667374862, 1.0940744876861572
60, 0.019999404667374862, 1.3214654922485352
70, 0.010717229872093515, 1.9145634174346924
80, 0.0037215705489213524, 2.4863836765289307
90, 0.017490091092669312, 3.3290631771087646
100, 0.012794491724616414, 4.1883015632629395
125, 0.0037215705489213524, 5.9892942905426025
