population_size,fitness_score,training_time
20,0.0174900910926693,0.2235879898071289
30,0.0199994046673748,0.3650248050689697
40,0.0116032232785197,0.6682467460632324
50,0.0174900910926693,0.855642557144165
60,0.0037215705489213,1.5917444229125977
70,0.0174900910926693,2.0296473503112797
80,0.0037215705489213,2.4464595317840576
90,0.0199994046673748,2.9182345867156982
100,0.0174900910926693,3.885214567184448
125,0.0116032232785197,5.089392185211182
150,0.0037215705489213,7.193563222885132
175,0.0043882586338281,9.557728052139282
200,0.0039584928539904,12.47522783279419
250,0.0037215705489213,17.720563888549805
300,0.0037215705489213,25.32328724861145
350,0.0039584928539904,36.63243007659912
400,0.0037215705489213,41.42696642875672
450,0.0037215705489213,54.98076725006104
500,0.0029543671598237,64.75218033790588
550,0.0034415702749319,72.97029638290405
600,0.0037215705489213,87.60349178314209
650,0.004519165614579,92.51440167427064
700,0.0032143216797055,107.49956226348876
750,0.0034415702749319,128.55753993988037
800,0.0034415702749319,138.74207282066345
850,0.0029307959110731,158.11213421821594
900,0.0020175901862828,183.68162202835083
950,0.0018238481486014,204.08278131484985
1000,0.0030403509681755,213.66380500793457
2000,0.0037215705489213,595.5705230236053
3000,0.0024255098324609,1106.3483154773712
4000,0.0022805644584775,1830.2265422344208
5000,0.0029673743798549,26839.413035154343
6000,0.0029838274414425,3453.845286130905
7000,0.0001394635543266,4382.610334634781
