max_generations,fitness_score,training_time
1,0.0011819829878894,9.646890870730083
2,0.0012016240434427,9.61369882027308
3,0.0091340940363779,9.289310340086619
4,0.0163405218174482,9.960421081384023
5,0.0163405218174482,10.294416777292888
6,0.0085340478585173,10.538264838854472
7,0.0205308769054291,9.621908032894135
8,0.0145284287465973,9.305326998233795
9,0.001096660989591,9.184019756317138
10,0.0069768330759143,9.138731980323792
11,0.0161811141122807,9.652847063541412
12,0.0006276685397475,9.468155487378437
13,0.0069768330759143,9.587701245148976
14,0.0133941205813914,10.081966662406922
15,0.0157617824501787,9.808105365435283
16,0.0163405218174482,9.619726959864298
17,0.0019430116589686,9.882919597625733
18,0.001096660989591,10.05835492213567
19,0.0163405218174482,10.01802263657252
20,0.0015050323110024,9.809156807263692
21,0.014597164863264,10.165111859639486
22,0.0068088286579864,10.172600042819976
23,0.0111474649422722,10.267929307619731
24,0.0069768330759143,10.308364121119181
25,0.0154855212833573,10.425888590017955
26,0.001096660989591,10.415645134449004
27,0.001938680806896,10.31688232421875
28,0.0161811141122807,10.769188173611958
29,0.0069768330759143,10.763405803839365
30,0.0150571382341918,10.763762191931407
31,0.0069768330759143,10.984684046109518
32,0.0011739918293282,10.869945192337036
33,0.0031086839474602,10.795027327537536
34,0.0006276685397475,10.803741017977396
35,0.0019430116589686,11.2442746758461
36,0.0019430116589686,11.618047185738881
37,0.0065912736471261,11.460369129975637
38,0.0154356518938033,11.200136983394623
39,0.001096660989591,11.266681389013927
40,0.0079724742743037,11.185389864444733
41,0.0099073841932325,11.745250980059305
42,0.001096660989591,11.623877171675364
43,0.0006276685397475,11.587147760391236
44,0.0119410712309827,11.865880636374156
45,0.001096660989591,12.02349940141042
46,0.0099073841932325,11.97998172044754
47,0.0069768330759143,12.164447502295177
48,0.0089531844937188,11.778998327255248
49,0.0138684009212249,11.982619158426921
50,0.0082708979870655,12.329841522375743
