fitness_score,population,generations,training_time,i_run,n_nodes
0.02258248452918474,2000,1,892.7065448760986,0,8
2.1808639025627427e-06,2000,10,8499.244788885117,0,9
1.976905974258852e-05,2000,15,36160.24904370308,0,32
0.02140522084755707,2000,2,936.8120572566986,0,5
0.01711177986204466,2000,3,962.5239014625549,0,11
0.009798838470523591,2000,4,1054.4245209693909,0,9
0.007429355639287839,2000,5,1378.6596038341522,0,9
0.0003575223205058859,2000,6,1975.576447725296,0,9
0.00010255487163739234,2000,7,3103.7251722812653,0,11
0.00023517302684652276,2000,8,4103.6950070858,0,21
0.00018277491609887452,2000,9,6352.2066531181335,0,9
