MSE_error,population,generations,training_time,i_run,solution_string
3.8781249186579276e-05,2000,6,6423.1243686676025,0,((tanh((sin(x)-1.1742898773395901e-05))*tanh(tan(sin((0.4014112643337263)**2))))-exp(0.8329084677155836))
1.299726602032808e-14,2000,6,6133.7721264362335,1,(((0.8941585077770815)**3*(0.18184427715965365*sin(x)))-(0.8848063413111475/0.3846983912902724))
0.008450419844215481,2000,6,5712.896767854691,2,(log(0.5704607411859534)/(exp(-(0.0032479072471115443*x))*sin(0.24654920443665632)))
