population_size,fitness_score,training_time
20,0.3765611843203932,0.010459359486897786
30,0.3887650718401118,0.018194953600565594
50,0.3759203938166307,0.027639559904734292
40,0.376318561109988,0.029048168659210206
60,0.3758716460290078,0.028592050075531006
70,0.3762924826710977,0.03874599138895671
90,0.3714483023480384,0.0637896180152893
80,0.3776203249817038,0.072542671362559
100,0.3777455931029413,0.09650715986887613
125,0.37621442464918,0.09813696543375651
150,0.3715895066796481,0.15298975706100465
175,0.2245163493223739,0.2034311334292094
200,0.3758718734409603,0.21133488019307453
250,0.3539663382039154,0.34545446236928307
300,0.3122197760770765,0.4819947957992553
350,0.3429274123574207,0.5755783875783285
400,0.3760613716426096,0.7051035443941752
550,0.3314012908509383,1.1300232092539468
600,0.2667370732594411,1.2669856468836467
750,0.3487756673082019,1.714664324124654
800,0.3570016582655737,2.0064361174901326
950,0.3216075310885549,2.5717758973439535
1000,0.3315051473102607,2.8451260844866435
2000,0.1967693717934866,8.558276144663493
3000,0.1758015721171089,16.536835118134817
4000,0.185041199978684,25.75228102604548
5000,0.3117756812688735,37.238660689194994
6000,0.2109936127359249,50.66117595831553
7000,0.2361926837181726,64.21105637152989
