population_size, fitness_score, training_time
20, 0.3765611843203932, 0.6275615692138672
30, 0.3887650718401118, 1.0916972160339355
50, 0.3759203938166307, 1.6583735942840576
40, 0.37631856110998807, 1.7428901195526123
60, 0.37587164602900786, 1.7155230045318604
70, 0.37629248267109777, 2.3247594833374023
90, 0.37144830234803844, 3.8273770809173584
80, 0.37762032498170384, 4.35256028175354
100, 0.37774559310294137, 5.790429592132568
125, 0.37621442464918, 5.888217926025391
150, 0.37158950667964813, 9.179385423660278
175, 0.2245163493223739, 12.205868005752563
200, 0.37587187344096035, 12.680092811584473
250, 0.3539663382039154, 20.727267742156982
300, 0.3122197760770765, 28.919687747955322
350, 0.34292741235742075, 34.53470325469971
400, 0.3760613716426096, 42.30621266365051
550, 0.33140129085093833, 67.80139255523682
600, 0.2667370732594411, 76.0191388130188
750, 0.3487756673082019, 102.87985944747925
800, 0.35700165826557373, 120.38616704940796
950, 0.3216075310885549, 154.3065538406372
1000, 0.3315051473102607, 170.7075650691986
2000, 0.19676937179348666, 513.4965686798096
3000, 0.17580157211710892, 992.210107088089
4000, 0.185041199978684, 1545.1368615627289
5000, 0.3117756812688735, 2234.3196413517
6000, 0.21099361273592496, 3039.670557498932
7000, 0.23619268371817265, 3852.663382291794
