MSE_error,population,generations,training_time,i_run,solution_string
24.88451287340979,2000,6,5334.814932823181,0,abs(((abs((exp((((x*0.0))**3/x))-x))-x))**2)
10.776822692774626,2000,6,3228.130253314972,1,(((0.9267161522353091+0.9999996842179201)-(x/((exp(-tanh(exp(tanh(x))))+exp(-0.0))/(sin(exp(-log(tan(0.11213849448542719))))+0.4631378099727918)))))**3
22.712396883220034,2000,6,3013.225896835327,2,((abs(x)+(0.8803898104599966-x)))**2
