fitness_score,population,generations,training_time,i_run,n_nodes
0.011877105415416336,2000,1,1527.8580632209778,0,7
0.0015110799692555198,2000,10,8045.329882144928,0,14
0.00029750940373266676,2000,15,42637.83760499954,0,36
0.011877105415416336,2000,2,1545.5696325302124,0,7
0.011877105415416336,2000,3,1644.2169950008392,0,7
0.011710259337161884,2000,4,1910.1655342578888,0,6
0.006077245858501261,2000,5,2321.8318111896515,0,7
0.008033185879875985,2000,6,2845.544682741165,0,11
0.00574626634672463,2000,7,4331.529380559921,0,15
0.0012691045717749304,2000,8,5711.2926869392395,0,25
0.001219400055757276,2000,9,7657.946498394012,0,20
