population_size, fitness_score, training_time
20, 0.019999404667374862, 0.22427153587341309
30, 0.019999404667374862, 0.3909881114959717
40, 0.019999404667374862, 0.5728886127471924
50, 0.019999404667374862, 0.7878532409667969
60, 0.008866248125427894, 1.237701177597046
70, 0.010717229872093515, 1.7343635559082031
80, 0.005787618852899447, 1.9258480072021484
90, 0.01201616194893624, 2.5720889568328857
100, 0.010717229872093515, 3.20346999168396
125, 0.010717229872093515, 4.327430963516235
150, 0.0037215705489213524, 6.549490213394165
175, 0.0037215705489213524, 8.33479380607605
200, 0.011676041021994338, 10.526021480560303
250, 0.0037215705489213524, 15.512497425079346
300, 0.004388258633828175, 20.408440113067627
350, 0.0037215705489213524, 27.11378574371338
400, 0.0022520256030905796, 32.631805181503296
550, 0.0037215705489213524, 54.61898183822632
600, 0.0037215705489213524, 62.633737325668335
750, 0.00241850204941195, 103.46938800811768
800, 0.003441570274931975, 103.54479002952576
950, 0.0037215705489213524, 140.88695859909058
1000, 0.00251224140012535, 147.4718940258026
2000, 0.0018522683050286115, 470.53928208351135
3000, 0.0022863658597452414, 886.3007521629333
4000, 0.002099822991113347, 1455.8964958190918
5000, 0.0031749758144590276, 2099.82492351532
6000, 0.0022525998681113594, 2782.752296447754
7000, 0.0021099315462852443, 3525.494817495346
