fitness_score,population,generations,training_time,i_run,n_nodes
0.03160899346259067,100,3,5.936677694320679,0,6
0.022578822220199555,1000,3,310.2404713630676,0,9
0.03134510371802265,125,3,9.379685640335083,0,6
0.023064408406319636,150,3,15.09962272644043,0,9
0.023851960055143232,175,3,17.96396565437317,0,10
,12
0.02385298273520253,200,3,23.61784815788269,0,9
0.01711177986204466,2000,3,938.7578585147858,0,11
0.01925570066602573,250,3,34.35413980484009,0,13
,12
0.02648717159060118,300,3,45.38365054130554,0,6
0.0067275357949686245,3000,3,1870.4066653251648,0,19
0.01769437270736797,350,3,55.395875215530396,0,12
0.02625081409040272,40,3,1.2097041606903076,0,9
0.01864244335470009,400,3,70.11850833892822,0,10
0.01703488311768631,4000,3,3118.0904879570007,0,9
0.02355171499612498,450,3,84.60277843475342,0,12
0.023831185656827708,50,3,2.1183037757873535,0,14
0.018979089559920736,500,3,102.20827841758728,0,13
0.016491656360989787,5000,3,4679.236324548721,0,9
0.016494254528463193,550,3,122.50742268562317,0,17
0.021497927880332463,60,3,2.568817377090454,0,13
0.021263180317629974,600,3,140.1023600101471,0,11
0.012501882453168342,6000,3,6549.324981689453,0,9
0.02107026731896803,650,3,163.6823182106018,0,10
0.024448306588683983,70,3,3.5573008060455322,0,5
0.022654960733954177,700,3,180.69081282615662,0,10
0.01703488311768631,7000,3,8734.809940576553,0,9
0.02107026731896803,750,3,202.00382232666016,0,10
0.02625081409040272,80,3,4.8133344650268555,0,9
0.016957533742458453,800,3,221.35810542106628,0,17
0.02258248452918474,850,3,245.17641472816467,0,8
0.030664816459269797,90,3,5.214057683944702,0,6
0.016007372969126295,900,3,268.1559271812439,0,10
0.0210704482897849,950,3,296.9764995574951,0,23
