population_size, fitness_score, training_time
40, 0.12246959730347287, 0.9637892246246338
30, 0.09292545100711475, 1.2224953174591064
20, 0.1136783612652623, 0.8340592384338379
50, 0.1116356425125833, 2.2828781604766846
60, 0.11196137770834516, 3.0278351306915283
80, 0.09292545100711475, 3.6020123958587646
90, 0.07581970309246672, 3.71557879447937
70, 0.11109848174338184, 4.311330318450928
100, 0.09985404926684883, 4.709935188293457
125, 0.1058224734130501, 7.760566234588623
150, 0.07564394981418829, 9.389441013336182
175, 0.07629827169924261, 11.259633302688599
200, 0.08238138331681207, 14.482830286026001
250, 0.09292545100711475, 22.576465129852295
300, 0.09039025037478081, 28.3962185382843
350, 0.06563975362695648, 35.31580209732056
400, 0.09039025037478081, 41.719130992889404
550, 0.07007738305044224, 65.77982020378113
600, 0.08107571585395731, 78.77137613296509
750, 0.08107571585395731, 109.99532079696655
800, 0.07581970309246672, 123.54940176010132
950, 0.07629827169924261, 157.7919681072235
1000, 0.08107571585395731, 167.19904685020447
2000, 0.07007738305044224, 498.9001569747925
3000, 0.06068017228579499, 985.4697749614716
4000, 0.07007738305044224, 1545.1988015174866
5000, 0.06330940977579659, 2243.886912584305
6000, 0.05685067282787314, 2989.4008355140686
7000, 0.07007738305044224, 3785.865165233612
