population_size,fitness_score,training_time
20,0.0174900910926693,0.0037264664967854816
30,0.0199994046673748,0.006083746751149495
40,0.0116032232785197,0.011137445767720541
50,0.0174900910926693,0.014260709285736084
60,0.0037215705489213,0.02652907371520996
70,0.0174900910926693,0.03382745583852133
80,0.0037215705489213,0.04077432552973429
90,0.0199994046673748,0.048637243111928304
100,0.0174900910926693,0.0647535761197408
125,0.0116032232785197,0.08482320308685302
150,0.0037215705489213,0.11989272038141886
175,0.0043882586338281,0.1592954675356547
200,0.0039584928539904,0.20792046387990315
250,0.0037215705489213,0.29534273147583007
300,0.0037215705489213,0.4220547874768575
350,0.0039584928539904,0.610540501276652
400,0.0037215705489213,0.6904494404792787
450,0.0037215705489213,0.9163461208343507
500,0.0029543671598237,1.0792030056317647
550,0.0034415702749319,1.2161716063817343
600,0.0037215705489213,1.4600581963857016
650,0.004519165614579,1.5419066945711775
700,0.0032143216797055,1.7916593710581459
750,0.0034415702749319,2.142625665664673
800,0.0034415702749319,2.312367880344391
850,0.0029307959110731,2.6352022369702657
900,0.0020175901862828,3.0613603671391805
950,0.0018238481486014,3.401379688580831
1000,0.0030403509681755,3.5610634167989095
2000,0.0037215705489213,9.926175383726756
3000,0.0024255098324609,18.43913859128952
4000,0.0022805644584775,30.503775703907014
5000,0.0029673743798549,447.3235505859057
6000,0.0029838274414425,57.56408810218175
7000,0.0001394635543266,73.04350557724635
