MSE_error,population,generations,training_time,i_run,solution_string
53.12489651143561,2000,6,7858.748442411423,0,((12.748469726146752+(sin((cos(((cos(x))**3+3.3794928928427588))*(4.088187829586656/0.7426676688439965)))/cos(1.7162724355736776)))+cos(1.8914700091971801))
2.944469972946035e-05,2000,6,8136.225974559784,1,((2.35638923299886*2.9147216267071663)+(cos(((x*((1.6789880661649745*x)*(5.209230452781156-0.9030575584922198)))*x))/0.09092695396347271))
56.01696679126219,2000,6,7229.455917835236,2,(cos((sin(cos(((0.6398599701096458)**3/x)))*1.4957867175367954))/sin(sin(0.04515002385284192)))
