population_size, fitness_score, training_time
20, 0.03458399994731863, 0.2234349250793457
30, 0.023813784181474104, 0.4777214527130127
40, 0.03458399994731863, 0.6642253398895264
50, 0.026818139297744195, 1.1079540252685547
60, 0.034057010240471995, 1.4780800342559814
70, 0.026912969157064134, 1.9377849102020264
80, 0.025977123464816045, 2.5212578773498535
90, 0.026912969157064134, 3.138511896133423
100, 0.02730726410627609, 3.7948527336120605
125, 0.023101061897018382, 5.327754259109497
150, 0.0011920174919958482, 9.024119138717651
175, 0.026582045356564235, 9.652304649353027
200, 0.0170932470046881, 12.899507284164429
250, 0.021973247899390872, 19.71528148651123
300, 0.026818139297744195, 26.494518041610718
350, 0.020530876905429162, 34.688353061676025
400, 0.017565716792606705, 43.91500806808472
450, 0.020530876905429162, 51.29414510726929
500, 0.0238118575949627, 62.115581035614014
550, 0.021558668954256604, 75.35561609268188
600, 0.022585028724220437, 84.12879014015198
650, 0.016181114112280754, 100.52433514595032
700, 0.023437542498316845, 110.5179796218872
750, 0.0019430116589686222, 123.59903621673584
800, 0.023316653125471088, 146.53854823112488
850, 0.00895318449371883, 153.97724604606628
900, 0.016181114112280754, 160.25887417793274
950, 0.016340521817448266, 177.7055938243866
1000, 0.02257899625327164, 189.5399866104126
2000, 0.016340521817448266, 579.1204853057861
3000, 0.0006276685397475655, 1220.9746115207672
4000, 0.0006276685397475655, 1943.7191140651703
5000, 0.012475182690098058, 2644.504626274109
6000, 0.0019430116589686222, 3525.271459579468
7000, 0.0006276685397475655, 4539.5993666648865
