MSE_error,population,generations,training_time,i_run,solution_string
1.0106512985431997e-32,2000,6,2552.8248031139374,0,(((24.3*x)+(1.2529964086141667)**2)+((-1.6100617350571016*(0.08275785389720823+-0.08275785389720822))*x))
2.1886945815356973e-29,2000,6,2516.349240064621,1,(1.569999999999999+((((0.4923677275853299*(x-x))+x)-x)+(x/0.0411522633744856)))
2.16268343392999e-29,2000,6,2522.596011161804,2,((1.567867656701371+(x/0.0411522633744856))-(-0.2616659939325688+0.2595336506339395))
