max_generations, fitness_score, training_time
1, 0.015485521283357364, 437.1063606739044
2, 0.016181114112280754, 458.7100648880005
3, 0.016340521817448266, 459.71260809898376
4, 0.001096660989591007, 463.4932472705841
5, 0.006205085090348249, 480.8501102924347
6, 0.001997269831686769, 495.72010922431946
7, 0.016340521817448266, 527.7923414707184
8, 0.015485521283357364, 546.3282749652863
9, 0.0170932470046881, 592.3734107017517
10, 0.0006276685397475655, 617.4444470405579
11, 0.0006276685397475655, 648.1003320217133
12, 0.001096660989591007, 684.7988269329071
13, 0.0019430116589686222, 708.0436234474182
14, 0.015485521283357364, 749.7346849441528
15, 0.014392087986455103, 832.2568247318268
16, 0.008318398812829378, 864.3353476524353
17, 0.016340521817448266, 909.8549437522888
18, 0.00895318449371883, 1003.2419908046722
19, 0.0013077105447034504, 1134.8937265872955
20, 0.015485521283357364, 1117.93101811409
21, 0.001096660989591007, 1117.4142625331879
22, 0.016340521817448266, 1164.4802298545837
23, 0.01174688887257813, 1246.5113446712494
24, 0.00895318449371883, 1258.2220244407654
25, 0.001096660989591007, 1345.619815826416
26, 0.015485521283357364, 1404.630985736847
27, 0.004471486226207435, 1549.354906320572
28, 0.012730717234902657, 1895.0114831924438
