MSE_error,population,generations,training_time,i_run,solution_string
6.344901295280685e-14,2000,6,3615.5826597213745,0,((0.6122448918968267-x)*(x/(0.3194382821938286)**2))
5.176506148142651e-14,2000,6,3747.8787734508514,1,((0.612244898963465-x)/(0.4089834425532607/(x/(0.49949839778025573)**2)))
1.2476353617159528e-13,2000,6,3707.88960981369,2,(((0.0+x)/0.1666666684157905)-((x)**2*(0.8710290791608898/0.0888805180366273)))
